Country,Region,GDP_per_capita,Life_Expectancy,Infant_Mortality_Rate,Healthcare_Expenditure_Percent,Education_Expenditure_Percent,Unemployment_Rate,Population_Millions,Urban_Population_Percent,Internet_Users_Percent,Literacy_Rate,Access_to_Clean_Water_Percent,Malaria_Incidence_per_1000,HIV_Prevalence_Percent,Tuberculosis_Incidence_per_100k
Tanzania,West,2349.9143905356746,68.81791598894102,94.95662584248502,4.398741127559447,4.499026591423274,,44.867432630533244,20.838335536319153,20.09671531046277,,38.44070587216227,12.988308676699312,8.650385906270799,420.2421093645494
Ethiopia,East,4614.750634081505,53.96512763232684,64.3041792569901,3.419719897609939,6.93307932089854,33.0884186440678,71.38025344228063,55.11946143949748,60.186531548192185,50.122462462761746,73.95272351317504,297.34115822800493,5.398244089787111,283.2457653679205
Mozambique,Central,5764.693297780209,,44.44194485264188,5.479414115821666,7.102088006719372,6.920190398258628,104.56324770461418,,42.9345778984043,81.60480983939016,85.8090069538624,289.3321215975852,6.751067927321731,257.8129167029084
Rwanda,South,9865.799999308218,71.7960881936308,51.75852136594267,6.503509789054126,3.2719643281919484,29.742297120410228,,82.2460570077182,,66.07868702334937,92.57761795097403,54.42249377265718,3.132080478397021,191.49534761513243
Sudan,West,8776.285417699222,50.73118207586398,55.77620324038685,9.488263369633064,5.944120893020772,13.771493312365793,182.56811485681223,,53.223039915186746,52.4184253682846,,,6.275446928400471,311.4358639842166
Uganda,East,5663.402525518771,70.64541876411907,,8.51147584881674,,18.317583635191333,104.42153186233925,53.43998630309312,40.66681830937003,73.91420879909013,41.9665860184622,61.91441393844479,11.659534383569023,378.450102966619
Mozambique,South,14804.471107498206,53.22174668683613,61.25435421571982,8.209285674784311,7.28094042752891,5.6573998632502684,,25.528665056800673,46.25877893441919,42.21836186761486,36.867272454180494,,9.116147307775748,234.91980723324122
Egypt,Central,9283.734880674863,58.37797135647855,93.55135785715339,5.523749466096544,,14.031382335029392,14.797386915481516,55.676732100268985,37.65390029239491,57.939363977053944,82.83531314988926,99.590759664546,7.2610158441002675,333.14863685373143
Tanzania,South,3939.78848017192,68.5877064072902,59.75707863246642,10.4144755308476,,20.078937278903915,11.807752767963642,44.698640132750654,59.72253902908038,65.77063470251241,67.61917096339995,148.92283942921912,15.055816512713722,
Angola,East,1975.8458529958543,54.018997401207706,99.372641185865,,5.646512733516335,6.685282320423171,112.47619257369256,,59.77376294098299,48.13770837601732,70.18852636589179,101.86550635598475,17.9234444421697,370.00481765687863
Kenya,South,2716.4575181728146,70.44917560297655,88.11399661960766,,3.7718088654309967,19.732871881494955,,45.26721261197554,,94.15599626749618,,,15.257389846596743,73.38474415903111
Tanzania,North,4066.387061575368,70.80335444894355,36.680841148586865,8.341421382957368,2.8196054219070357,32.81331886575282,,35.619443024273835,16.324082643787737,51.50035505242879,75.71301980260935,162.96315254187417,6.974013691294744,436.8865125582801
Sudan,,2829.8799122635573,62.68669334402091,94.4476171715133,3.262647415645027,5.909838562863659,8.161796543234157,36.33251901880981,26.17274288984447,60.33123171424413,47.1694221523796,84.23978643564628,394.6277963117306,15.016622272832297,256.2139916442716
Sudan,West,3205.2218487439336,50.15964679292084,29.309311830838087,8.76177562075434,6.431584748793984,27.93322184226513,9.869474112824673,40.469698898278224,50.26077883197459,51.1944180637793,,22.370540051290266,3.4636135582439986,168.08723676329652
Uganda,West,4633.879946060783,57.17595332937282,85.39597667929533,5.25104015431699,3.8937640625801,17.29013160127978,92.56255974637455,26.281914228703897,51.82144996025797,82.29836232378483,78.58884138852281,56.872550554940645,3.0412007677801727,158.79402836585672
Egypt,North,,65.42317295939355,,8.863271966860975,5.868995624133882,24.65521143573014,51.30831856669021,31.498301803558956,31.7789704242323,63.40281125995135,85.3054292259362,21.130357563440995,,267.3563507797777
Ethiopia,East,13503.098657083165,74.52965445068558,,,4.37078544566902,,14.674802801073302,84.17685030767049,62.7567733694204,71.09787668638958,48.59877775979044,250.3364779929503,,449.07419276103167
Uganda,West,1663.3893120938121,65.7953381754167,89.44453520859602,,,9.78476787624075,146.29666593528765,48.86673119893021,53.522296014091445,41.15550363424984,71.62907280956144,21.80371096548783,5.3037908212248865,220.25641175719113
